material_id,material_description,material_group,base_unit,current_stock,min_stock,reorder_point,lead_time_days,standard_price,supplier_id,status
MAT-1001,Hex Bolt M12,FASTENERS,PCS,450,100,200,7,0.35,SUP-01,ACTIVE
MAT-1002,Steel Plate S235,STEEL,KG,1200,300,500,14,1.20,SUP-02,ACTIVE
MAT-1003,Hydraulic Hose 20mm,HYDRAULICS,PCS,85,50,70,10,18.50,SUP-03,ACTIVE
MAT-1004,Bearing 6205,MECHANICAL,PCS,12,30,40,5,6.90,SUP-04,ACTIVE
MAT-1005,Aluminium Profile 40x40,ALUMINIUM,M,200,80,120,12,9.75,SUP-02,ACTIVE
MAT-1006,Cable Connector Type A,ELECTRICAL,PCS,-5,20,30,6,2.10,SUP-05,ACTIVE
MAT-1007,Hydraulic Valve HV-22,HYDRAULICS,PCS,45,20,30,,125.00,SUP-03,ACTIVE
MAT-1008,Steel Plate S355,STEEL,KG,900,250,450,14,1.35,SUP-02,ACTIVE
MAT-1009,Hex Bolt M12,FASTENERS,,300,100,200,7,0.35,SUP-01,ACTIVE
MAT-1010,Sensor Proximity PNP,ELECTRICAL,PCS,60,25,40,9,42.00,SUP-06,ACTIVE
MAT-1011,,FASTENERS,PCS,150,50,90,6,0.30,SUP-01,ACTIVE
MAT-1012,Hydraulic Pump HP-90,HYDRAULICS,PCS,8,10,15,21,580.00,SUP-07,ACTIVE
MAT-1013,Steel Tube 50mm,STEEL,M,340,120,200,10,4.20,SUP-02,ACTIVE
MAT-1014,Electric Motor 2.2kW,ELECTRICAL,PCS,15,10,20,18,320.00,SUP-08,ACTIVE
MAT-1015,Aluminium Plate 5mm,ALUMINIUM,KG,500,150,300,12,3.50,SUP-02,ACTIVE